"INSTNM","CITY","STABBR","NUMBRANCH","LATITUDE","LONGITUDE","ADM_RATE","PCIP40","PCIP41","PCIP44","PCIP45","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","C150_4","PCTFLOAN","UG25ABV","GRADS","STUFACR","CONTROL_PEPS"
"Dakota State University","Madison","SD",1,44.013014,-97.113358,0.9787,0.0021,0,0,0,1969,0.2341,24447,9633,12735,7928,8858,9722,0.7483,0.493,0.3631,0.1905,558,19,"Public"
"Dakota Wesleyan University","Mitchell","SD",1,43.697432,-98.031188,0.7277,0,0,0,0,661,0.0862,42473,32890,32890,12639,7011,6766,0.5222,0.4643,0.7759,0.103,119,12,"Private Nonprofit"
"Mount Marty University","Yankton","SD",1,42.874475,-97.409904,0.4814,0,0,0,0.0584,702,0.1168,45209,33100,33100,11961,7828,7439,0.3281,0.6055,0.4009,0.0967,218,12,"Private Nonprofit"
"Northern State University","Aberdeen","SD",1,45.450829,-98.484728,0.9279,0.006,0,0,0.0423,1239,0.1953,22223,8845,11947,5182,11178,8385,0.9841,0.5224,0.2329,0.0703,589,17,"Public"
"South Dakota School of Mines and Technology","Rapid City","SD",1,44.075439,-103.205753,0.8525,0.0731,0,0,0,2042,0.1518,24865,10400,14800,8628,13266,10878,0.875,0.5817,0.4327,0.0641,322,12,"Public"
"South Dakota State University","Brookings","SD",1,44.317485,-96.782139,0.9871,0.0015,0,0,0.0285,8798,0.1258,22761,9299,12809,8879,9588,9855,0.8019,0.5964,0.4578,0.0616,1321,17,"Public"
"University of Sioux Falls","Sioux Falls","SD",1,43.531574,-96.738229,0.8208,0.0031,0,0.0154,0.0123,1258,0.0747,32728,20740,20740,12033,6429,7050,1,0.6051,0.6694,0.0878,233,17,"Private Nonprofit"
"University of South Dakota","Vermillion","SD",1,42.786019,-96.925283,0.9895,0.0041,0,0,0.0433,5239,0.1313,23544,9432,12942,8309,11404,9163,0.6766,0.6143,0.4176,0.0719,2773,14,"Public"
"Austin Peay State University","Clarksville","TN",1,36.533319,-87.354081,0.9595,0.0094,0,0.0169,0.0157,7365,0.2668,26790,8675,14219,5706,10535,8879,1,0.445,0.3569,0.2385,1358,15,"Public"
"Baptist Health Sciences University","Memphis","TN",1,35.138415,-90.027501,0.6776,0,0,0,0,673,0.5958,21438,13846,13846,15922,12784,7254,0.9737,0.5375,0.7272,0.3383,22,6,"Private Nonprofit"
"Belmont University","Nashville","TN",1,36.135589,-86.794807,0.9636,0.0038,0,0.0146,0.0165,7306,0.0371,60480,41320,41320,25822,12471,10135,0.6256,0.717,0.348,0.0426,1532,12,"Private Nonprofit"
"Bethel University","McKenzie","TN",1,36.137848,-88.516762,0.9717,0,0,0.0148,0.0083,1671,0.067,32270,18168,18168,7964,5488,3055,1,0.349,0.3855,0.1872,255,17,"Private Nonprofit"
"Carson-Newman University","Jefferson City","TN",1,36.122934,-83.491709,0.6827,0.0245,0,0.0196,0.0319,1374,0.0269,46345,34700,34700,11399,6202,6147,0.5381,0.4645,0.524,0.0479,1066,12,"Private Nonprofit"
"Christian Brothers University","Memphis","TN",1,35.127437,-89.983241,0.8842,0.0034,0,0,0,953,0.0525,45919,37300,37300,13320,9251,7858,0.9835,0.5599,0.3121,0.0889,839,9,"Private Nonprofit"
"Cumberland University","Lebanon","TN",1,36.204514,-86.298782,0.67,0.0035,0,0,0.0052,2053,0.0599,41657,27840,27840,9113,3866,5932,0.3609,0.4698,0.2514,0.0539,420,18,"Private Nonprofit"
"Lipscomb University","Nashville","TN",1,36.106253,-86.799791,0.6664,0.0045,0,0.0166,0.0151,3021,0.0497,53549,38824,38824,19092,12033,8823,0.4803,0.687,0.3344,0.0795,1777,13,"Private Nonprofit"
"East Tennessee State University","Johnson City","TN",1,36.301643,-82.366954,0.8706,0.0143,0,0.0369,0.027,9807,0.122,25947,9950,13790,9212,14786,8453,0.6421,0.4988,0.3581,0.1385,2953,18,"Public"
"Fisk University","Nashville","TN",1,36.167087,-86.804805,0.5791,0.031,0,0,0.0775,950,0.0263,37653,24298,24298,7403,6882,5850,0.5798,0.4351,0.5292,0.0347,55,11,"Private Nonprofit"
"Freed-Hardeman University","Henderson","TN",1,35.440611,-88.637964,0.9062,0.0232,0,0.0464,0.0166,1244,0.0201,36972,25000,25000,9642,8656,7328,1,0.6837,0.3978,0.017,416,13,"Private Nonprofit"
"Johnson University","Knoxville","TN",2,35.937193,-83.750273,0.5377,0,0,0,0,703,0.1095,30424,20318,20318,13164,10233,6164,1,0.6216,0.565,0.1158,242,11,"Private Nonprofit"
"King University","Bristol","TN",1,36.585309,-82.159421,0.5439,0,0,0.0992,0.0027,975,0.0995,47469,34800,34800,11441,7304,5262,0.5983,0.4643,0.6446,0.2742,219,12,"Private Nonprofit"
"Lee University","Cleveland","TN",1,35.166019,-84.871399,0.7219,0.0024,0,0.0073,0.0305,2712,0.1051,34299,22690,22690,14377,8571,7600,0.8872,0.6067,0.4483,0.1798,427,12,"Private Nonprofit"
"Lincoln Memorial University","Harrogate","TN",1,36.578508,-83.660198,0.5927,0.0202,0,0.0152,0.0101,1487,0.1473,39096,26150,26150,33529,12086,7112,0.5893,0.5392,0.5436,0.1657,4200,9,"Private Nonprofit"
"The University of Tennessee Southern","Pulaski","TN",1,35.201019,-87.035661,0.8271,0.0157,0,0,0,827,0.0653,25827,10506,10506,3533,7362,6672,1,0.3566,0.3337,0.0941,32,13,"Public"
"Maryville College","Maryville","TN",1,35.751505,-83.964223,0.6568,0.0114,0,0,0.1143,1028,0.0107,53162,38514,38514,14633,9377,6608,1,0.4718,0.8073,0.0359,5,12,"Private Nonprofit"
"University of Memphis","Memphis","TN",1,35.118878,-89.938068,0.9338,0.0092,0,0.019,0.0312,13645,0.1776,25164,10344,14784,8334,8718,9436,0.7122,0.4942,0.3877,0.1789,4965,17,"Public"
"Middle Tennessee State University","Murfreesboro","TN",1,35.848005,-86.360618,0.68,0.0091,0,0.0127,0.0296,16115,0.139,22754,9506,29042,7592,11990,9415,0.7923,0.54,0.3107,0.1376,2515,17,"Public"
